team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
South Africa,New Zealand,300,298,6,9,away,away,South Africa,Australia,1998-01-09 00:00:00
Bangladesh,India,190,191,10,6,home,away,India,Bangladesh,1998-01-10 00:00:00
India,Pakistan,245,227,7,9,away,away,India,Bangladesh,1998-01-11 00:00:00
Australia,South Africa,235,236,8,5,home,away,South Africa,Australia,1998-01-11 00:00:00
Bangladesh,Pakistan,134,136,10,1,home,away,Pakistan,Bangladesh,1998-01-12 00:00:00
Pakistan,India,212,213,8,2,away,away,India,Bangladesh,1998-01-14 00:00:00
Australia,New Zealand,250,119,10,10,home,away,Australia,Australia,1998-01-14 00:00:00
India,Pakistan,189,193,10,4,away,away,Pakistan,Bangladesh,1998-01-16 00:00:00
South Africa,New Zealand,233,166,7,10,away,away,South Africa,Australia,1998-01-16 00:00:00
Pakistan,India,314,316,5,7,away,away,India,Bangladesh,1998-01-18 00:00:00
Australia,South Africa,165,170,10,3,home,away,South Africa,Australia,1998-01-18 00:00:00
Australia,New Zealand,251,253,4,6,home,away,New Zealand,Australia,1998-01-21 00:00:00
Zimbabwe,Sri Lanka,207,210,10,5,away,home,Sri Lanka,Sri Lanka,1998-01-22 00:00:00
South Africa,Australia,241,235,9,10,away,home,South Africa,Australia,1998-01-23 00:00:00
Zimbabwe,Sri Lanka,212,213,8,5,away,home,Sri Lanka,Sri Lanka,1998-01-24 00:00:00
South Africa,Australia,228,229,6,3,away,home,Australia,Australia,1998-01-26 00:00:00
Zimbabwe,Sri Lanka,281,286,6,6,away,home,Sri Lanka,Sri Lanka,1998-01-26 00:00:00
Australia,South Africa,247,233,7,10,home,away,Australia,Australia,1998-01-27 00:00:00
New Zealand,Zimbabwe,248,208,7,10,home,away,New Zealand,New Zealand,1998-02-04 00:00:00
Zimbabwe,New Zealand,138,139,10,2,away,home,New Zealand,New Zealand,1998-02-06 00:00:00
New Zealand,Australia,212,215,7,3,home,away,Australia,New Zealand,1998-02-08 00:00:00
Australia,New Zealand,297,231,6,10,away,home,Australia,New Zealand,1998-02-10 00:00:00
Australia,New Zealand,236,240,10,3,away,home,New Zealand,New Zealand,1998-02-12 00:00:00
New Zealand,Australia,223,193,7,10,home,away,New Zealand,New Zealand,1998-02-14 00:00:00
Zimbabwe,New Zealand,228,227,7,9,away,home,Zimbabwe,New Zealand,1998-03-04 00:00:00
Zimbabwe,New Zealand,207,211,8,1,away,home,New Zealand,New Zealand,1998-03-06 00:00:00
New Zealand,Zimbabwe,231,229,9,9,home,away,New Zealand,New Zealand,1998-03-08 00:00:00
Zimbabwe,Pakistan,236,237,6,6,home,away,Pakistan,Zimbabwe,1998-03-28 00:00:00
Zimbabwe,Pakistan,272,276,4,6,home,away,Pakistan,Zimbabwe,1998-03-29 00:00:00
England,West Indies,293,277,5,10,away,home,England,West Indies,1998-03-29 00:00:00
India,Australia,309,268,5,10,home,away,India,India,1998-04-01 00:00:00
England,West Indies,266,267,10,9,away,home,West Indies,West Indies,1998-04-01 00:00:00
Australia,Zimbabwe,252,239,7,10,away,away,Australia,India,1998-04-03 00:00:00
South Africa,Pakistan,280,228,4,10,home,away,South Africa,South Africa,1998-04-03 00:00:00
England,West Indies,209,213,8,5,away,home,West Indies,West Indies,1998-04-04 00:00:00
India,Zimbabwe,274,261,5,10,home,away,India,India,1998-04-05 00:00:00
South Africa,Sri Lanka,266,209,8,10,home,away,South Africa,South Africa,1998-04-05 00:00:00
England,West Indies,149,150,10,6,away,home,West Indies,West Indies,1998-04-05 00:00:00
Australia,India,222,223,9,4,away,home,India,India,1998-04-07 00:00:00
Sri Lanka,Pakistan,295,300,7,6,away,away,Pakistan,South Africa,1998-04-07 00:00:00
West Indies,England,302,245,5,10,home,away,West Indies,West Indies,1998-04-08 00:00:00
India,Zimbabwe,301,269,3,10,home,away,India,India,1998-04-09 00:00:00
Pakistan,Sri Lanka,249,139,10,10,away,away,Pakistan,South Africa,1998-04-09 00:00:00
Australia,Zimbabwe,294,278,3,9,away,away,Australia,India,1998-04-11 00:00:00
Pakistan,South Africa,250,254,8,7,away,home,South Africa,South Africa,1998-04-11 00:00:00
South Africa,Sri Lanka,231,232,10,4,home,away,Sri Lanka,South Africa,1998-04-13 00:00:00
India,Australia,227,231,10,6,home,away,Australia,India,1998-04-14 00:00:00
